step,price,fundamental,log_return,volume,strategy_entropy,n_families,wealth_gini,acf1,mean_fitness
0,96.2812562491387,96.2812562491387,0.0,0.0,5.298317366548021,200,0.0,0.0,50000.0
1,94.03213661559512,94.03213661559512,-0.02363705796994008,0.0,5.298317366548021,200,4.432519946339759e-06,0.0,49999.775
2,91.78574640974082,91.78574640974082,-0.02417958502864798,0.0,5.298317366548021,200,0.00037010287862608164,0.0,49981.22332764261
3,91.4638595864521,91.4638595864521,-0.0035131006432026638,0.0,5.298317366548021,200,0.00039891677877565136,0.0,49979.76279411597
4,89.52333926608542,89.52333926608542,-0.021444551852249506,0.0,5.298317366548021,200,0.0008226228582800877,0.0,49958.050070143
5,89.9643517198345,89.9643517198345,0.004914134655326463,0.0,5.298317366548021,200,0.0008026972011868846,0.0,49959.09694287175
6,87.24516542024955,87.24516542024955,-0.03069135097212503,0.0,5.298317366548021,200,0.0013345893226419635,0.0,49931.99861781582
7,86.75962193211086,86.75962193211086,-0.005580820570931271,0.0,5.298317366548021,200,0.0013684330317094197,0.0,49930.26723381528
8,88.28848322572853,88.28848322572853,0.01746834298856329,0.0,5.298317366548021,200,0.0011046418494885133,0.0,49943.6627993751
9,86.86139860104036,86.86139860104036,-0.016295942546787054,0.0,5.298317366548021,200,0.0012070224755795238,0.0,49938.41470708695
10,84.38387833694848,84.38387833694848,-0.028937360370824835,0.0,5.298317366548021,200,0.0016604509968940681,0.0,49915.42422047359
11,85.08464432915659,85.08464432915659,0.008270208240817898,0.0,5.298317366548021,200,0.0016550183179871534,0.0,49915.70223246236
12,86.25508662700629,86.25508662700629,0.013662452926087636,0.0,5.298317366548021,200,0.0016975270973172828,0.0,49931.62492300365
13,84.60017199211758,84.60017199211758,-0.019372729944204664,0.0,5.298317366548021,200,0.001623189757038907,0.0,49917.08760911552
14,82.63246923641329,82.63246923641329,-0.02353360629736083,0.0,5.298317366548021,200,0.0020661445965138607,0.0,49893.93291452635
15,83.36844785091077,83.36844785091077,0.008867221335380263,0.0,5.298317366548021,200,0.001956847392452063,0.0,49899.67379687211
16,84.52319546937751,84.52319546937751,0.013756084638482872,0.0,5.298317366548021,200,0.0017484237441833584,0.0,49910.5513498856
17,84.42872184078136,84.42872184078136,-0.0011183494090720766,0.0,5.298317366548021,200,0.0017657038396391947,0.0,49909.64656419856
18,83.98280553207508,83.98280553207508,-0.005295568037802141,0.0,5.298317366548021,200,0.0018942961932893162,0.0,49902.96155115859
19,83.99265250883359,83.99265250883359,0.00011724304115181567,0.0,5.298317366548021,200,0.0019014774294584336,0.0,49902.57933584254
20,81.18938906556824,81.18938906556824,-0.03394476278834549,0.0,5.298317366548021,200,0.0025537586221867454,0.0,49868.24661994024
21,82.18389378366086,82.18389378366086,0.012174781395685938,0.0,5.298317366548021,200,0.004269532338102961,0.0,49987.72775013515
22,81.81333133912177,81.81333133912177,-0.0045191383563452335,0.0,5.298317366548021,200,0.004922834482633776,0.0,49934.01462056016
23,79.50901767836632,79.50901767836632,-0.02856975999148297,0.0,5.298317366548021,200,0.0058304019551261585,0.0,49608.566027180204
24,78.26792849650586,78.26792849650586,-0.015732523801243962,0.0,5.298317366548021,200,0.007095742786237355,0.0,49477.81962493059
25,74.34802351536788,74.34802351536788,-0.051380832309022656,0.0,5.298317366548021,200,0.015573247164139716,0.0,48869.438919905675
26,73.26970474676037,73.26970474676037,-0.014609870530839047,0.0,5.298317366548021,200,0.016600581948629997,0.0,48765.39523376359
27,72.39502290480407,72.39502290480407,-0.01200966588316959,0.0,5.298317366548021,200,0.018818720976809835,0.0,48614.2015888933
