step,family_id,n_agents,total_wealth,wealth_share,alpha,phase,peak_alpha,t_peak,t_half,birth_step
2000,147055,1,17854.281255123675,0.001871646655120017,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147056,1,17402.840926744484,0.0023971917473703786,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147057,1,18124.68356839759,0.0018999926623293863,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147058,1,17105.23944062873,0.0020999392521303573,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
2000,147059,2,33302.73344191689,0.004587356633775363,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147060,1,16873.970302518443,0.0019600052608703903,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147061,1,17320.069995758797,0.002011822215028077,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147062,1,16639.735644624612,0.0019327976059131237,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147063,3,51153.36951406015,0.007046230886409166,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147064,1,17056.369777507472,0.0023494663338503078,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147065,8,135347.9882827727,0.023562019773481716,0.00024019815836428602,extinct,0.002723310191432764,3,-1,0
2000,147066,1,18046.767706856164,0.0018918248195833806,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147067,1,18336.516405627423,0.0019221988892606451,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147068,1,14347.208020148608,0.0019762870216696385,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147069,1,17809.796981003856,0.0018669834126364862,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147070,1,16252.095402158724,0.002238679830467141,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147071,1,16067.91281412839,0.0018663772119000375,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147072,1,15344.064121018515,0.0024329175397110434,-1.358230533937816e-05,extinct,0.002723310191432764,3,-1,0
2000,147073,3,33479.13807650337,0.005946576162704081,-0.0011478889988382095,extinct,0.002723310191432764,3,-1,0
2000,147074,1,16330.85620290928,0.0018969195452147234,-4.269488429297992e-05,extinct,0.002723310191432764,3,-1,0
2000,147075,2,15330.172953322277,0.0021116876402052696,-0.00047591375330035873,extinct,0.002723310191432764,3,-1,0
2000,147076,1,17800.959346685402,0.0018660569721668336,-4.662995316225634e-05,extinct,0.002723310191432764,3,-1,0
2000,147077,1,16253.48860983698,0.0019953733377611107,0.0009170294531712947,extinct,0.002723310191432764,3,-1,0
