step,family_id,n_agents,total_wealth,wealth_share,alpha,phase,peak_alpha,t_peak,t_half,birth_step
1000,7771,1,50000.0,0.006832244668935909,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7772,1,35446.395031306274,0.004843568869712772,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7773,1,31901.465423562764,0.0038723774768579635,-0.0012232060869169364,extinct,0.004917125774065763,1,4,0
1000,7774,1,27016.44069703683,0.00369165865851906,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7775,1,50000.0,0.006832244668935909,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7776,1,44160.946281944365,0.006034367796199589,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7777,1,35094.23934070403,0.004795448592917719,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7778,1,28634.551137405047,0.003912765187118166,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7779,1,35471.494060038436,0.004846998523817787,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7780,1,50000.0,0.006832244668935909,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7781,1,30400.816439377086,0.004154116320984664,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7782,1,50230.69778576762,0.006863768343274831,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7783,1,31688.742751737256,0.004330104874616766,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7784,1,31563.216669408044,0.004312952376480642,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7785,1,31711.486227092468,0.00433321265438174,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7786,1,34065.313427625675,0.004654851121230527,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
1000,7787,1,35790.68426949506,0.004890614235956518,0.00020784198207589422,extinct,0.004917125774065763,1,4,0
