step,family_id,n_agents,total_wealth,wealth_share,alpha,phase,peak_alpha,t_peak,t_half,birth_step
2000,39251,3,45199.971754970255,0.007024080328342626,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39252,2,15712.980063432116,0.0020314438896909936,0.0007307607519188928,extinct,0.0024631172760280606,10,-1,0
2000,39253,8,160000.0,0.02486401669955114,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39254,1,15135.047997664595,0.0018478566422137324,0.0014165111675944785,extinct,0.0024631172760280606,10,-1,0
2000,39255,1,12916.680187031783,0.0018398804117930672,-0.0007383002765796683,extinct,0.0024631172760280606,10,-1,0
2000,39256,3,10902.703967667392,0.0016212466941862614,-0.0008569287257352862,extinct,0.0024631172760280606,10,-1,0
2000,39257,3,20841.095443578535,0.0030407280679169684,-0.0002590924750774611,extinct,0.0024631172760280606,10,-1,0
2000,39258,1,20312.74637983006,0.0031566029075115096,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39259,1,16317.671314556255,0.00199224457885538,0.0014165111675944785,extinct,0.0024631172760280606,10,-1,0
2000,39260,1,14341.036249407376,0.0016987924169721343,-0.0006035406969004294,extinct,0.0024631172760280606,10,-1,0
2000,39261,7,78031.3645694759,0.012126082198401325,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39262,1,17390.6698704181,0.0018600295151041694,0.0007757841634369728,extinct,0.0024631172760280606,10,-1,0
2000,39263,1,14808.106869302144,0.0017541200804316345,-0.0006035406969004294,extinct,0.0024631172760280606,10,-1,0
2000,39264,7,123746.64378389993,0.019230241359726837,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39265,1,10848.11337985416,0.0015709056122388898,0.0008958162837948775,extinct,0.0024631172760280606,10,-1,0
2000,39266,1,17291.942875405744,0.0018494701102032178,0.0007757841634369728,extinct,0.0024631172760280606,10,-1,0
2000,39267,1,18118.163829712936,0.002694195247413628,-0.0008569287257352862,extinct,0.0024631172760280606,10,-1,0
2000,39268,2,14740.22690647942,0.0022906327997367333,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39269,2,31316.396301462348,0.003823457376863561,0.0014165111675944785,extinct,0.0024631172760280606,10,-1,0
2000,39270,2,17508.286429207263,0.002720789538477087,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39271,1,16793.873393569498,0.0024972714844547243,-0.0008569287257352862,extinct,0.0024631172760280606,10,-1,0
2000,39272,1,15247.723506292636,0.0018061956345482417,-0.0006035406969004294,extinct,0.0024631172760280606,10,-1,0
2000,39273,2,30122.180066364555,0.0036776540465665282,0.0014165111675944785,extinct,0.0024631172760280606,10,-1,0
2000,39274,1,17557.870897811346,0.0018779126011626423,0.0007757841634369728,extinct,0.0024631172760280606,10,-1,0
2000,39275,4,80000.0,0.01243200834977557,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39276,3,40063.531123616456,0.006225876918128665,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39277,4,63743.02954309532,0.009905673443996897,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39278,4,63803.88887710909,0.00991513099085466,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39279,1,19826.696739235573,0.0030810707426330588,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39280,1,14429.294363038509,0.0017092471854815597,-0.0006035406969004294,extinct,0.0024631172760280606,10,-1,0
2000,39281,1,14439.284437546445,0.001710430577150329,-0.0006035406969004294,extinct,0.0024631172760280606,10,-1,0
2000,39282,3,12454.329791667342,0.001610151101404306,0.0007307607519188928,extinct,0.0024631172760280606,10,-1,0
2000,39283,1,14483.692985288562,0.001715691068989346,-0.0006035406969004294,extinct,0.0024631172760280606,10,-1,0
2000,39284,3,54139.66489907169,0.008413309575991382,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39285,4,45170.26571346618,0.006541065845364521,0.0008958162837948775,extinct,0.0024631172760280606,10,-1,0
2000,39286,9,145232.84264450363,0.022569198905226382,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39287,1,17451.569031922852,0.00186654302140887,0.0007757841634369728,extinct,0.0024631172760280606,10,-1,0
2000,39288,2,13125.828721973605,0.0016969654671960194,0.0007307607519188928,extinct,0.0024631172760280606,10,-1,0
2000,39289,1,17131.133284313248,0.0018322706240435347,0.0007757841634369728,extinct,0.0024631172760280606,10,-1,0
2000,39290,1,12181.83259170689,0.00173520709971022,-0.0007383002765796683,extinct,0.0024631172760280606,10,-1,0
2000,39291,1,16422.42552538683,0.002442036688560094,-0.0008569287257352862,extinct,0.0024631172760280606,10,-1,0
2000,39292,2,30963.428713397476,0.00378036312951182,0.0014165111675944785,extinct,0.0024631172760280606,10,-1,0
2000,39293,1,12501.455953419167,0.0018239697673426232,-0.0002590924750774611,extinct,0.0024631172760280606,10,-1,0
2000,39294,1,10825.825341504335,0.0016098147394262255,-0.0008569287257352862,extinct,0.0024631172760280606,10,-1,0
2000,39295,1,14001.608366628732,0.0020428428856654503,-0.0002590924750774611,extinct,0.0024631172760280606,10,-1,0
2000,39296,3,37872.19938010522,0.005394599601601616,-0.0007383002765796683,extinct,0.0024631172760280606,10,-1,0
2000,39297,3,35120.19959387409,0.005085724744306506,0.0008958162837948775,extinct,0.0024631172760280606,10,-1,0
2000,39298,1,11459.239823145921,0.001524633527700438,0.00039576147640475766,extinct,0.0024631172760280606,10,-1,0
2000,39299,2,36302.28352447564,0.005641378648652516,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39300,3,60000.0,0.009324006262331676,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39301,1,14118.466085433987,0.0018784393280674699,0.00039576147640475766,extinct,0.0024631172760280606,10,-1,0
2000,39302,1,13474.251823540071,0.0017927276510396116,0.00039576147640475766,extinct,0.0024631172760280606,10,-1,0
2000,39303,2,28138.872185951896,0.0037438319320034774,0.00039576147640475766,extinct,0.0024631172760280606,10,-1,0
2000,39304,2,12584.19771976055,0.001955585639091123,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39305,8,44522.57053517471,0.006918812108084546,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39306,2,22679.490278168414,0.003284196736628417,0.0008958162837948775,extinct,0.0024631172760280606,10,-1,0
2000,39307,1,19567.565835694128,0.003040801773176657,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39308,1,15053.337401926674,0.001783169290125237,-0.0006035406969004294,extinct,0.0024631172760280606,10,-1,0
2000,39309,1,15006.98385841656,0.0017776784004262431,-0.0006035406969004294,extinct,0.0024631172760280606,10,-1,0
2000,39310,1,17605.217202148968,0.0018829765535092326,0.0007757841634369728,extinct,0.0024631172760280606,10,-1,0
2000,39311,1,10665.832247154167,0.001544509644171719,0.0008958162837948775,extinct,0.0024631172760280606,10,-1,0
2000,39312,1,16812.51361249489,0.002236878042010703,0.00039576147640475766,extinct,0.0024631172760280606,10,-1,0
2000,39313,3,13607.259167768952,0.0017592069346626655,0.0007307607519188928,extinct,0.0024631172760280606,10,-1,0
2000,39314,3,34066.81753162922,0.004970368689758477,-0.0002590924750774611,extinct,0.0024631172760280606,10,-1,0
2000,39315,2,23272.7951480212,0.0033701126850689315,0.0008958162837948775,extinct,0.0024631172760280606,10,-1,0
2000,39316,3,10124.25989062667,0.0015733110436946082,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39317,1,13120.572401303813,0.0018689232684500632,-0.0007383002765796683,extinct,0.0024631172760280606,10,-1,0
2000,39318,8,149265.83158390818,0.023195925807341755,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39319,1,18619.81529591146,0.0028935212403756265,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39320,1,17603.185141322698,0.0018827592132261088,0.0007757841634369728,extinct,0.0024631172760280606,10,-1,0
2000,39321,1,10657.366079343155,0.0014179455088045446,0.00039576147640475766,extinct,0.0024631172760280606,10,-1,0
2000,39322,1,15181.675735169907,0.002359233993790218,-0.0006357770481375658,decay,0.0024631172760280606,10,-1,0
2000,39323,2,26303.009387108217,0.003499573323354634,0.00039576147640475766,extinct,0.0024631172760280606,10,-1,0
2000,39324,2,39592.46648053795,0.005887452836159656,-0.0008569287257352862,extinct,0.0024631172760280606,10,-1,0
