step,agent_id,ancestor_id,parent_id,wealth,cash,holdings,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,threshold,holding_period,risk_appetite,age
1000,6301,6301,-1,40168.37597261713,40168.37597261713,0.0,0.10690532203522185,-0.36486250090986483,0.2632843122021943,0.3299827301502208,-0.684490824449938,-0.4568497428531754,0.38295845397527295,20,0.27686817960532756,1000
1000,6302,6302,-1,49909.94532272645,49909.94532272645,0.0,-0.4496196788413224,0.46351028622430374,0.40995609828401214,0.0348032499517226,0.5941427083307554,0.24641333643460178,0.12134697367454067,20,0.5327508722095009,1000
1000,6303,6303,-1,50000.0,50000.0,0.0,-0.49944038756841896,0.4575466887867116,-0.026004243179637468,-0.09628679299847265,-0.3546666873190452,0.6367687968035823,0.44762934944787686,20,0.3167832247111806,1000
1000,6304,6304,-1,40908.32697208869,37987.52662155996,31.155615983082726,0.22646974982477291,0.15547735804229612,0.17559616446502377,0.18329183004615757,0.9111591712958508,-0.17290835774320945,0.16965442548769447,20,0.42227582362092136,1000
1000,6305,6305,-1,33361.66229150382,32751.5825893534,6.507602930077439,0.33039449372005797,0.6055498209954825,-0.06111829584365057,-0.4506369266217507,-0.44222914574166416,0.3489601549553682,0.22420444024744207,1,0.6201590612013496,1000
1000,6306,6306,-1,38193.04973217681,36126.893689807854,22.039289404193767,0.4277140725546936,-0.5240644948208115,0.18281853015423116,0.09188579663131265,0.17220925211560667,0.6862182133274698,0.0784787169685618,20,0.31994492148506504,1000
1000,6307,6307,-1,32154.431596881528,31894.80463513294,2.7693909026097003,0.039457059271009995,0.16880672280319975,0.368587154756496,-0.8507824091983561,-0.18664486247652834,-0.2746341706131943,0.28868318601691795,1,0.26871804412158407,1000
1000,6308,6308,-1,47801.069422255845,-14.357415538957866,510.03796831092916,-0.3871506558285996,0.43295926100390036,-0.7524840860374139,-0.1497416258624127,0.07277395643498863,0.26212543755187,0.28401150876525266,1,0.38237005883756736,1000
1000,6310,6310,-1,29887.777939486426,-8.969024126483419,318.90285392943935,0.5877478158371726,-0.36368158747405366,0.13495051937726332,0.532508597752142,-0.2633187684376469,0.38881150283822696,0.09181673075477491,3,0.2136272438803163,1000
1000,6311,6311,-1,41376.52326185451,41376.52326185451,0.0,-0.2536752548278238,-0.7946680997547024,0.3236065114299623,-0.3119306732179542,0.0083026830763337,0.3194692827799673,0.35119698378809067,5,0.42861273565788954,1000
1000,6312,6312,-1,39310.202750938784,-11.796829653299937,419.44021213161557,-0.1508818460746847,-0.028415021948100565,-0.6014390492405622,-0.5158135411939028,-0.47146741112798246,-0.3554619474243011,0.4552045384467275,5,0.6198242802864498,1000
1000,6314,6314,-1,43437.303970790206,-13.040467130282195,463.47647328769733,-0.724883813504452,0.18230935220925876,0.09976764456122529,-0.24933977500423116,-0.6068497297680835,0.030269724085816695,0.362536848415959,60,0.45925582386506225,1000
1000,6315,6315,-1,35620.12284825384,27732.607283487545,84.13461260779508,0.011282068548723267,0.8269842076785382,-0.12357718347501966,-0.5284226603204027,0.09255841722833176,0.11358233297497342,0.25205550142981425,3,0.28671451331962816,1000
