step,price,fundamental,log_return,volume,strategy_entropy,n_families,wealth_gini,acf1,mean_fitness
0,99.73295154137878,100.87183513676305,-0.0026740566910927644,0.0,5.298317366548021,200,0.0,0.0,0.0
1,99.04619764210105,99.29218097296943,-0.006909745156818129,0.0,5.298317366548021,200,0.0,0.0,0.0
2,98.4295520112128,98.76123606045148,-0.006245299853390235,0.0,5.298317366548021,200,0.0,-0.2570557403033507,0.0
3,98.200093125741,99.16348416746419,-0.0023339205995182516,1015.9550455802978,5.298317366548021,200,0.0,-0.24571625234318883,0.0
4,97.35057036494116,101.54218669548534,-0.008688572975685682,4073.315892764146,5.298317366548021,200,2.97000891002673e-06,-0.5071214132419819,-0.44721359549995787
5,96.80158795606735,101.74253837810663,-0.005655192058779425,3085.3882502177444,5.298317366548021,200,7.160099365535894e-05,-0.4794597751624624,-0.4292365729845177
6,96.87005307244542,101.23497990817857,0.0007070226582116894,4117.221920666279,5.298317366548021,200,7.454995020877555e-05,-0.23131462535232702,-0.4160559889528578
7,96.9843272145572,98.90189858933677,0.001178969030042534,1032.3107795266078,5.298317366548021,200,6.29541223807039e-05,0.17839212931174142,-0.3146352602677939
8,96.76319929550849,100.79800996823714,-0.0022826409095020447,3089.8835318412694,5.298317366548021,200,9.815824945568837e-05,0.2587651019002401,-0.4349724893368556
9,97.26033559283651,101.05437867830399,0.005124506009406003,4113.311719261541,5.298317366548021,200,0.00010109939677656386,0.22315130122060325,-0.4253704726816593
10,96.9769795335749,100.88273532542429,-0.0029176294996081332,2565.7113901267876,5.298317366548021,200,0.00013604898074775373,0.21634462403660362,-0.5191753245777536
11,97.28828484602501,98.60704326687278,0.0032049535969748727,0.0,5.298317366548021,200,0.00012043755064627688,0.17510692044352932,-0.4122336760064671
12,96.79691851773784,98.49198103266973,-0.0050634192569408015,0.0,5.298317366548021,200,0.00014510644398645244,0.09413559890364212,-0.45106674311687867
13,96.5143394887153,98.6133267502972,-0.002923567237721563,1033.0907381279417,5.298317366548021,200,0.0001594218409745533,0.09936082343455016,-0.46978413034920263
14,96.80686084287312,98.09007729984725,0.003026275203205092,1036.1154677092543,5.298317366548021,200,0.00014460277528769165,0.07686288593369962,-0.3981407178747728
15,97.3151269944748,96.78304844940868,0.005236576430368694,0.0,5.298317366548021,200,0.00011909148588465666,0.19684955690814587,-0.3094483589777181
16,96.99420297083172,95.43813502456484,-0.003303231147052791,2055.178944701529,5.298317366548021,200,0.00013809605343519826,0.1565892628687233,-0.28569880191371
17,97.54248116204722,97.290903723274,0.005636773808212105,0.0,5.298317366548021,200,0.00016067919358368554,0.0976887455141824,-0.01872920621610391
18,97.08484979160994,97.38375235716406,-0.004702651077506043,0.0,5.298317366548021,200,0.00013692151071377975,0.028439603510875617,-0.1329418289301084
19,97.12042592289244,96.86744770160927,0.0003663765729284126,0.0,5.298317366548021,200,0.00013876854621128112,0.010634406928849259,-0.12248785118533384
20,97.07901803027782,96.9020908723103,-0.00042644708346462404,115017.11816520663,5.298317366548021,200,0.00020544380607193555,0.015782547889422363,-0.21352278746758108
21,96.98786995131421,96.87047148594186,-0.0009393471149439697,161214.89116854983,5.298317366548021,200,0.0006587187985236809,0.017012439639128712,-0.22293166808732157
22,96.66733337164635,95.48195336155979,-0.0033103873987245613,145566.73758408264,5.298317366548021,200,0.0011412516647311413,0.01469840972897008,-0.22792986038796967
23,96.00681437824069,96.35900178469936,-0.006856359181363233,182620.6356142764,5.298317366548021,200,0.0012125677364811427,0.039918572269306986,-0.23071648842811393
24,95.54755661977214,96.17534627595643,-0.004795073440937077,139260.75941656568,5.298317366548021,200,0.0026613414891046867,0.0798315207779154,-0.2696033674429725
25,95.35976071347015,96.28151237768434,-0.0019674045971638607,160602.9755531812,5.298317366548021,200,0.0027296873940542165,0.08093862228175383,-0.2682643030543271
26,95.54297063852144,97.7134170367736,0.0019194066004303214,126849.29945524521,5.298317366548021,200,0.0026058787034482114,0.07662833006833872,-0.254202570771392
27,95.8602085688719,96.43741491158256,0.0033148688768670997,129029.85810351084,5.298317366548021,200,0.002649134584111736,0.11370658198137489,-0.25110658104278805
28,95.53848611280924,95.69199720428345,-0.0033618072432503904,95365.0772725498,5.298317366548021,200,0.003596121305530347,0.09244824931301775,-0.27176518116986176
